p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16
37.4,0.5,30.9,0,0.2,0,0.9,0.2,0.4,20.3,0.2,0.1,0.1,0.6,0.2,8
67.3,0.3,16.6,0,0.1,0,0.7,0,2.5,4.6,0.1,0.1,0.1,0.9,0.2,6.6
60.4,0.7,16.5,0.2,0.1,0,1.1,0.2,0.6,18.6,0.3,0.1,0.1,0.7,0.2,0
47.6,0.4,2.2,0,0.1,0,0.5,0,0.6,2.2,0.1,0.3,0.1,1.7,0.5,43.4
52.2,0.7,27.9,0.2,0.1,0,1.4,0.1,0.8,15,0.2,0.1,0.1,1.1,0.1,0
49.2,0.4,31.4,0,0.1,0,0.7,0.2,0.8,14.6,0.1,0.2,0.1,1,0.2,1
39.3,0.8,33.2,0,0.2,0,0.8,0.4,0.6,20.9,0.3,0.1,0.1,0.5,0.3,2.4
46.4,1.5,35.4,0.3,0.1,0.1,1.2,0,0.5,13.3,0.4,0.2,0.1,0.2,0.2,0.2
35.5,1.1,38.1,0,0.3,0.1,0.5,0.4,0.5,18.2,0.3,0.1,0.2,0.6,0.3,3.8
46.5,1.2,33.8,0.3,0.1,0.1,1.1,0.3,0.6,13.9,0.3,0.1,0.1,0.4,0.3,0.9
42.6,0.7,25.4,0.2,0.1,0,1.4,0.3,1,27.2,0.3,0.1,0.1,0.3,0.2,0
67.1,0.4,3.1,0,0,0,0.8,0,1.3,1.3,0.1,0.2,0,1.2,0.6,23.9
50.7,0.4,1.7,0,0,0,0.5,0,0.8,3.2,0.1,0.3,0.1,1.4,0.6,40.2
58.5,1,20,0.2,0.1,0.1,1.5,0.4,0.7,16.1,0.3,0.1,0.1,0.5,0.2,0
49,0.9,25.4,0.3,0.2,0.1,1.8,0.6,1.2,18.6,0.4,0.1,0.2,0.8,0.4,0.1
53,0.9,25,0,0.2,0,2,0.7,0.9,14.4,0.2,0.1,0.1,0.6,0.3,1.7
41.6,1.2,39.5,0.5,0.1,0.1,0.5,0.4,0.5,14.6,0.3,0.1,0.1,0.2,0.3,0.1
65.6,0.9,6.1,0.1,0.1,0,1.4,0.2,0.9,23.1,0.3,0.1,0.2,1,0.1,0
61.2,0.5,24,0.2,0.1,0,1,0,0.7,10.8,0.2,0.1,0.1,0.8,0.1,0.1
46.6,1,31.2,0.3,0.1,0.1,0.5,0.4,0.5,16.9,0.3,0.1,0,0.6,0.3,1
32.2,0.3,2.3,0,0.1,0,0.4,0,0.5,0.8,0.1,0.2,0.1,1,0.2,61.7
30.4,0.9,51.7,0.4,0.1,0.1,0.9,0.5,0.4,13.3,0.3,0.2,0.1,0.2,0.4,0.1
67.4,0.4,13.2,0,0.1,0,2.3,0.1,1.1,14.5,0.1,0.1,0.1,0.7,0.1,0
57.1,0.4,30.3,0.2,0,0,0.9,0,0.6,9.3,0.1,0.1,0.1,0.7,0.1,0
69.2,0.4,4.8,0,0.1,0,1.6,0.1,0.7,13.3,0.1,0.1,0.1,0.9,0.3,8.1
44.1,1.1,35.5,0.3,0.1,0,0.9,0.5,0.8,14.6,0,0.2,0.1,0.7,0.5,0.6
61.7,0.6,19.3,0,0.1,0,1,0.2,0.8,9.4,0,0.2,0.1,0.9,0.3,5.4
59.4,0.8,23.7,0.2,0.1,0.1,1.7,0.2,1,11.9,0.2,0.1,0.1,0.4,0.2,0
65,0.6,7.8,0.1,0.1,0,2.4,0,0.9,21.6,0.3,0.1,0.1,0.7,0.1,0
16.5,0.2,0.9,0,0,0,0.1,0,0.2,1,0,0.1,0.1,0.7,0.2,79.8
44.4,0.5,38.5,0.2,0,0,0.7,0.2,0.4,12.6,0.1,0.1,0.1,0.4,0.1,1.5
52.9,1.5,21.7,0.2,0.1,0,1.3,0.3,1,18.9,0.5,0.1,0.1,0.8,0.2,0.4
32,0.7,32,0,0.2,0,0.5,0.2,0.4,23.1,0.2,0.2,0.1,0.7,0.2,9.7
49.5,0.4,31.3,0,0.2,0,1.6,0.4,0.7,9.4,0.1,0.2,0,0.6,0.2,5.3
36.9,0.8,43.8,0,0.2,0,0.4,0.7,0.3,11.2,0.1,0.2,0.1,0.3,0.3,4.7
42.6,0.5,16.7,0,0.1,0,0.4,0.1,0.7,17.2,0.2,0.3,0.1,1.1,0.7,19.2
55.8,1.3,14.7,0.2,0.2,0.1,0.8,0.4,1.7,23.1,0.4,0.1,0.2,0.5,0.4,0
64.9,0.5,12.1,0.2,0.1,0,1.3,0.2,0.8,18,0.2,0.1,0.1,1.4,0.2,0
27.4,0.8,52.5,0.4,0.1,0,0.4,0.4,0.4,16.5,0.2,0.1,0.1,0.1,0.4,0.2
50.2,0.5,22.6,0.2,0.1,0,0.9,0,0.6,22,0.2,0.1,0.1,0.8,0.2,1.4
52.7,0.6,24.6,0,0.2,0,4.4,0.4,1.6,11.9,0.2,0.2,0.1,0.6,0.3,2.3
69.6,0.6,10.2,0,0.1,0,2.2,0,1.1,13.1,0,0.1,0.1,1.3,0.2,1.3
64.6,1.7,12.4,0.1,0.1,0,2.5,0.2,1.1,15.8,0,0.1,0.1,0.9,0.2,0
68,0.3,19.8,0,0.1,0,0.8,0,1,8.1,0.1,0.1,0,0.5,0.1,1.3
47,1.2,28.8,0,0.2,0.1,0.7,0.3,0.6,16.9,0.3,0.1,0.1,0.6,0.3,2.8
69.6,0.5,11.5,0.1,0,0,1.3,0.1,0.9,13,0.2,0.1,0.1,2,0.1,0.5
32.2,0.3,3.7,0,0.1,0,0.3,0,0.7,0.6,0,0.1,0.1,0.9,0.2,60.9
32.7,1.7,45.6,0.3,0.1,0.1,0.3,0.4,0.3,16.2,0.4,0.1,0.1,0.3,0.3,1.1
42.8,0.4,4.1,0,0.1,0,1.2,0,0.7,4.4,0.2,0.2,0.1,1.2,0.4,44.3
60.2,0.7,16.3,0.2,0.1,0,1.7,0.2,0.9,18.2,0.2,0.1,0.1,0.9,0.1,0
54.2,0.6,21.5,0.2,0.1,0,1.5,0,0.9,19.1,0.2,0.1,0.1,1.2,0.1,0.1
60.2,0.6,22.6,0.3,0.1,0.1,0.9,0.2,1.5,11.7,0.2,0.1,0.1,0.4,0.3,0.8
68.9,0.6,17.1,0.1,0,0,3.2,0.2,0.9,7.6,0.1,0.1,0.1,0.4,0.2,0.3
61.6,0.6,16.2,0.2,0.1,0,2.7,0.3,1.7,15,0.2,0.1,0.1,0.4,0.2,0.6
61.5,1,21.7,0.2,0.1,0.1,1.6,0.2,1,11.2,0.3,0.1,0.1,0.7,0.2,0.1
48,0.4,2.9,0,0.1,0.1,0.7,0,1.2,1.2,0,0.3,0.1,1.6,1,42.5
54.9,0.8,31,0.4,0.2,0.1,1.1,0.8,1.1,8.3,0.3,0.2,0.1,0.3,0.4,0
63.3,0.3,15.3,0.1,0,0,1.7,0.1,0.6,9.9,0.1,0.1,0.1,3.5,0.1,4.6
35.9,0.7,44.4,0.3,0.1,0,0.7,0.7,0.8,13.4,0,0.2,0.1,0.5,0.6,1.6
55.9,0.6,23.5,0.2,0.1,0,1.7,0,0.7,15.8,0.2,0.1,0.1,1,0.1,0
58.7,1,18.3,0.2,0.1,0,3.5,0.2,1.7,15.3,0.2,0.1,0.1,0.4,0.2,0.1
15.8,0.5,57.5,0,0.2,0,0.2,0,0.1,2.1,0.1,0.3,0,0.7,0.3,22.2
63.5,0.3,3.2,0,0.1,0,0.5,0,0.9,3.3,0.1,0.2,0.1,0.9,0.1,27
49.7,0.7,29.8,0.3,0.1,0.1,1.2,0.2,0.5,16.3,0.2,0.1,0.1,0.4,0.3,0
40.2,0.4,3.8,0,0.1,0.1,0.5,0,0.4,3,0,0.4,0.1,1.3,0.3,49.5
66.4,0.4,10.9,0.1,0.1,0,1.1,0,1,18.3,0.2,0.1,0.1,1.2,0.1,0
